Forecast,yeardiff,qdiff,qnum,Year,Forecast Year,Forecast Quarter,Visitors,US Visitors,JP Visitors,Payroll Jobs,Employment,Unemployment Rate,Inflation,Real Personal Income,Other Visitors,Real GDP
14Q1,-3,-15,1,2017,2014,Q1,1.329,1.486,0.726,1.191,1.194,3.59,3.943,1.611,1.413,2.045
14Q1,-4,-19,1,2018,2014,Q1,1.126,1.344,0.356,0.716,0.742,3.677,3.343,1.227,1.175,1.55
13Q4,2,8,4,2011,2013,Q4,3.723,2.253,0.202,1.203,1.81,6.533,3.727,1.951,13.375,0.322
13Q4,1,4,4,2012,2013,Q4,9.656,5.207,18.026,2.141,-0.187,5.825,2.402,1.285,17.556,1.027
13Q4,0,0,4,2013,2013,Q4,4.277,2.897,3.705,2.094,0.621,4.613,1.999,1.629,9.246,3.102
13Q4,-1,-4,4,2014,2013,Q4,3.208,3.017,1.847,2.415,1.394,4.038,2.104,3.467,5.028,4.274
13Q4,-2,-8,4,2015,2013,Q4,2.27,2.372,1.09,2.089,2.133,3.679,2.793,2.915,3.015,4
13Q4,-3,-12,4,2016,2013,Q4,1.1,0.934,-0.195,1.798,1.801,3.458,3.92,2.282,2.713,3.341
13Q4,-4,-16,4,2017,2013,Q4,0.763,0.706,-0.833,1.286,1.286,3.391,4.313,1.691,2.276,2.603
13Q4,-5,-20,4,2018,2013,Q4,0.815,0.902,-0.8,0.753,0.778,3.516,3.79,1.255,1.889,1.873
13Q3,2,7,3,2011,2013,Q3,3.723,2.253,0.202,1.203,1.81,6.533,3.727,1.902,13.375,0.322
13Q3,1,3,3,2012,2013,Q3,9.231,5.502,16.973,1.915,-0.187,5.825,2.402,1.428,15.159,1.027
13Q3,0,-1,3,2013,2013,Q3,5.472,4.69,4.694,2.094,1.354,4.736,1.771,2.58,8.793,3.308
13Q3,-1,-5,3,2014,2013,Q3,2.341,1.938,1.256,2.577,1.794,4.362,2.227,3.292,4.629,4.4
13Q3,-2,-9,3,2015,2013,Q3,1.677,1.669,0.572,2.136,1.845,3.893,2.965,3.238,2.705,3.871
13Q3,-3,-13,3,2016,2013,Q3,0.865,0.705,-0.361,1.896,1.853,3.611,4.002,2.827,2.439,3.575
13Q3,-4,-17,3,2017,2013,Q3,0.682,0.654,-0.818,1.335,1.345,3.497,4.381,2.163,2.062,2.962
13Q3,-5,-21,3,2018,2013,Q3,0.789,0.922,-0.801,0.877,0.9,3.576,3.905,1.591,1.73,2.115
13Q2,3,10,2,2010,2013,Q2,7.732,5.947,6.098,-0.775,1.749,6.767,2.096,0.908,17.555,0.002
13Q2,2,6,2,2011,2013,Q2,3.723,2.253,0.202,1.203,1.81,6.533,3.727,1.902,13.375,-1.547
13Q2,1,2,2,2012,2013,Q2,9.238,5.544,16.972,1.915,-0.187,5.825,2.402,1.428,15.047,1.235
13Q2,0,-2,2,2013,2013,Q2,6.574,5.251,6.487,2.391,2.825,4.932,1.787,2.888,11.006,3.3
13Q2,-1,-6,2,2014,2013,Q2,2.208,2.196,0.712,2.281,2.38,4.475,3.099,2.959,3.641,4.222
13Q2,-2,-10,2,2015,2013,Q2,1.548,1.569,0.378,2.153,1.917,4.152,3.34,2.872,2.548,3.799
13Q2,-3,-14,2,2016,2013,Q2,0.955,0.833,-0.289,1.787,1.747,3.973,3.808,2.625,2.429,3.466
13Q2,-4,-18,2,2017,2013,Q2,0.79,0.768,-0.542,1.299,1.302,3.935,4.198,2.063,2.011,2.855
13Q1,3,9,1,2010,2013,Q1,7.732,5.947,6.098,-0.765,1.795,6.858,2.096,0.895,17.555,0.002
13Q1,2,5,1,2011,2013,Q1,3.723,2.253,0.202,0.926,1.976,6.692,3.727,1.904,13.375,-1.547
13Q1,1,1,1,2012,2013,Q1,9.238,5.544,16.972,1.548,-0.996,6.033,2.636,1.27,15.047,1.136
13Q1,0,-3,1,2013,2013,Q1,6.514,5.328,6.086,2.569,1.077,5.1,2.174,2.389,10.829,3.451
13Q1,-1,-7,1,2014,2013,Q1,2.069,2.059,0.477,2.017,2.686,4.643,2.97,2.87,3.584,4.069
13Q1,-2,-11,1,2015,2013,Q1,1.471,1.424,0.42,1.97,2.153,4.325,3.043,2.61,2.568,3.575
13Q1,-3,-15,1,2016,2013,Q1,1.095,1.003,-0.112,1.7,1.697,4.126,3.432,2.257,2.443,3.148
13Q1,-4,-19,1,2017,2013,Q1,0.892,0.868,-0.33,1.376,1.368,4.042,3.889,1.842,2.02,2.598
12Q4,2,8,4,2010,2012,Q4,7.732,5.947,6.098,-0.765,1.795,6.858,2.096,0.895,17.555,0.002
12Q4,1,4,4,2011,2012,Q4,3.723,2.253,0.202,0.926,1.976,6.692,3.727,1.904,13.375,-1.547
12Q4,0,0,4,2012,2012,Q4,9.078,5,16.048,1.081,-0.605,6.28,2.592,1.192,16.991,0.904
12Q4,-1,-4,4,2013,2012,Q4,3.565,2.279,2.467,2.244,1.061,5.645,2.293,2.305,8.742,2.45
12Q4,-2,-8,4,2014,2012,Q4,1.927,1.453,-0.705,2.435,1.943,5.016,3.073,2.77,5.714,3.257
12Q4,-3,-12,4,2015,2012,Q4,1.335,1.226,-1.727,2.199,1.751,4.564,2.782,2.615,4.226,3.446
12Q4,-4,-16,4,2016,2012,Q4,1.231,1.249,-1.41,1.731,1.392,4.301,3.1,2.26,3.275,3.269
12Q4,-5,-20,4,2017,2012,Q4,1.062,1.376,-1.953,1.389,1.111,4.173,3.658,1.902,2.479,2.953
12Q3,2,7,3,2010,2012,Q3,7.732,5.947,6.098,-0.765,1.795,6.858,2.096,1.535,17.555,0.002
12Q3,1,3,3,2011,2012,Q3,3.509,2.25,-5.064,0.926,1.976,6.692,3.727,0.918,17.803,-1.547
12Q3,0,-1,3,2012,2012,Q3,9.322,5.482,16.156,1.315,0.111,6.198,2.973,1.423,16.573,1.053
12Q3,-1,-5,3,2013,2012,Q3,3.037,1.697,2.3,2.439,1.646,5.55,2.463,2.113,7.856,2.382
12Q3,-2,-9,3,2014,2012,Q3,1.194,1.075,-0.226,2.219,1.704,4.976,2.941,2.519,2.718,3.067
12Q3,-3,-13,3,2015,2012,Q3,0.729,1.012,-0.878,1.824,1.381,4.604,2.466,2.309,1.199,3.175
12Q2,3,10,2,2009,2012,Q2,-4.364,-3.864,-0.606,-4.517,-3.851,6.9,0.519,-1.724,-10.481,-1.556
12Q2,2,6,2,2010,2012,Q2,7.732,5.947,6.098,-0.765,1.795,6.858,2.096,1.535,17.555,-0.059
12Q2,1,2,2,2011,2012,Q2,3.509,2.25,-5.064,0.926,1.976,6.692,3.727,0.738,17.803,1.336
12Q2,0,-2,2,2012,2012,Q2,5.174,2.039,6.697,1.453,1.009,6.125,3.164,1.49,14.64,2.168
12Q2,-1,-6,2,2013,2012,Q2,2.453,1.83,1.97,2.249,2.154,5.42,2.501,2.656,4.755,3.125
12Q2,-2,-10,2,2014,2012,Q2,1.717,1.839,-0.146,2.182,1.624,4.882,2.568,2.896,2.83,3.562
12Q1,3,9,1,2009,2012,Q1,-4.364,-3.864,-0.606,-4.482,-4.096,6.8,0.519,-1.429,-10.481,-1.556
12Q1,2,5,1,2010,2012,Q1,7.732,5.947,6.098,-0.814,-0.213,6.608,2.096,1.557,17.555,-0.059
12Q1,1,1,1,2011,2012,Q1,3.468,2.25,-5.292,1.245,0.983,6.275,3.727,0.446,17.803,1.146
12Q1,0,-3,1,2012,2012,Q1,5.121,2.121,6.772,1.662,1.266,6.238,2.703,1.747,14.017,2.265
12Q1,-1,-7,1,2013,2012,Q1,2.347,1.871,2.498,2.282,2.558,5.495,2.117,2.899,3.694,3.32
12Q1,-2,-11,1,2014,2012,Q1,1.936,1.827,0.649,2.198,2.124,4.937,1.952,3.027,3.307,3.72
11Q4,2,8,4,2009,2011,Q4,-4.364,-3.864,-0.606,-4.482,-4.096,6.8,0.519,-1.429,-10.481,-1.556
11Q4,1,4,4,2010,2011,Q4,8.753,7.298,6.113,-0.814,-0.23,6.608,2.096,1.557,18.333,-0.059
11Q4,0,0,4,2011,2011,Q4,2.138,0.754,-6.553,1.169,1.563,5.993,3.206,1.315,17.032,1.708
11Q4,-1,-4,4,2012,2011,Q4,2.672,1.288,5.434,1.722,1.477,5.471,1.64,0.907,5.052,2.102
11Q4,-2,-8,4,2013,2011,Q4,1.879,1.343,0.512,2.101,1.827,5.012,2.053,2.085,4.837,2.999
11Q4,-3,-12,4,2014,2011,Q4,1.955,1.434,0.801,1.866,1.861,4.627,1.662,2.25,4.58,3.422
11Q3,2,7,3,2009,2011,Q3,-4.364,-3.864,-0.606,-4.482,-4.096,6.8,0.519,-0.705,-10.481,-1.556
11Q3,1,3,3,2010,2011,Q3,8.753,7.298,6.113,-0.814,-0.23,6.608,2.096,0.026,18.333,-0.059
11Q3,0,-1,3,2011,2011,Q3,1.731,1.135,-9.338,1.106,1.521,6.004,3.131,1.231,16.037,1.654
11Q3,-1,-5,3,2012,2011,Q3,2.289,0.888,5.514,1.46,1.235,5.529,1.598,0.736,4.45,1.971
11Q3,-2,-9,3,2013,2011,Q3,2.152,1.517,0.872,1.871,1.598,5.104,2.235,1.871,5.371,2.811
11Q3,-3,-13,3,2014,2011,Q3,2.116,1.615,0.823,1.945,1.938,4.69,1.977,2.212,4.794,3.329
11Q2,3,10,2,2008,2011,Q2,-10.45,-13.483,-9.351,-0.862,-0.662,4.067,4.263,-0.166,3.008,-1.456
11Q2,2,6,2,2009,2011,Q2,-4.364,-3.864,-0.606,-4.482,-4.096,6.8,0.519,-0.705,-10.481,-0.077
11Q2,1,2,2,2010,2011,Q2,8.755,7.235,5.281,-0.814,-0.23,6.608,2.096,0.104,19.623,0.904
11Q2,0,-2,2,2011,2011,Q2,2.661,4.735,-10.77,1.622,1.313,6.009,1.919,2.09,8.68,2.556
11Q2,-1,-6,2,2012,2011,Q2,3.045,1.479,10.312,2.191,2.272,5.327,2.267,2.277,2.693,3.286
11Q2,-2,-10,2,2013,2011,Q2,1.761,1.007,3.193,2.311,2.346,4.788,2.21,2.73,3.257,3.83
11Q1,3,9,1,2008,2011,Q1,-10.45,-13.483,-9.351,-0.899,-0.503,4.058,4.263,-0.253,3.008,-1.456
11Q1,2,5,1,2009,2011,Q1,-4.364,-3.864,-0.606,-4.417,-4.11,6.767,0.519,-0.725,-10.481,-0.077
11Q1,1,1,1,2010,2011,Q1,8.23,6.438,4.493,-0.389,-0.207,6.558,1.729,0.176,20.612,0.951
11Q1,0,-3,1,2011,2011,Q1,3.362,3.319,0.638,1.391,1.161,5.97,1.431,2.221,6.365,2.659
11Q1,-1,-7,1,2012,2011,Q1,1.923,1.959,0.894,1.991,2.321,5.255,2.638,2.419,2.797,3.416
11Q1,-2,-11,1,2013,2011,Q1,1.906,1.961,0.845,2.045,2.019,4.59,2.502,2.589,2.727,3.786
10Q4,2,8,4,2008,2010,Q4,-10.45,-13.483,-9.351,-0.899,-0.503,4.058,4.263,-0.253,3.008,-1.456
10Q4,1,4,4,2009,2010,Q4,-4.364,-3.864,-0.606,-4.417,-4.11,6.767,0.519,-0.725,-10.481,-0.077
10Q4,0,0,4,2010,2010,Q4,8.19,6.438,4.288,-0.457,-0.095,6.533,1.704,0.333,20.596,1.052
10Q4,-1,-4,4,2011,2010,Q4,3.796,3.666,2.018,1.282,1.41,5.893,1.37,2.286,6.147,2.738
10Q4,-2,-8,4,2012,2010,Q4,1.639,1.227,1.526,1.821,1.792,5.347,2.932,2.407,3.318,3.437
10Q4,-3,-12,4,2013,2010,Q4,1.919,1.588,1.061,1.814,1.786,4.887,2.786,2.616,3.993,3.81
10Q3,2,7,3,2008,2010,Q3,-10.45,-13.483,-9.351,-0.899,-0.503,4.058,4.263,-0.556,3.008,-1.261
10Q3,1,3,3,2009,2010,Q3,-4.364,-3.864,-0.606,-4.417,-4.11,6.767,0.519,-0.276,-10.481,-0.66
10Q3,0,-1,3,2010,2010,Q3,6.726,5.25,4.073,-0.187,0.037,6.579,1.788,0.416,16.408,0.018
10Q3,-1,-5,3,2011,2010,Q3,2.645,2.24,3.974,1.298,1.151,6.047,1.579,1.333,2.829,0.87
10Q3,-2,-9,3,2012,2010,Q3,1.915,1.447,1.289,1.252,1.233,5.56,2.983,2.13,4.45,1.708
10Q2,2,6,2,2008,2010,Q2,-10.45,-13.483,-9.351,-0.899,-0.503,4.058,4.263,-0.556,3.008,
10Q2,1,2,2,2009,2010,Q2,-4.384,-3.878,-4.939,-4.417,-4.11,6.767,0.519,-0.083,-5.858,
10Q2,0,-2,2,2010,2010,Q2,3.969,2.149,4.928,-0.718,-0.4,6.817,1.593,-0.406,10.54,
10Q2,-1,-6,2,2011,2010,Q2,2.236,1.67,4.803,0.942,0.875,6.331,1.112,1.089,1.76,
10Q2,-2,-10,2,2012,2010,Q2,3.104,2.593,3.184,1.354,1.327,5.774,2.509,2.014,4.994,
10Q1,2,5,1,2008,2010,Q1,-10.45,-13.483,-9.351,-0.899,-0.503,4.058,4.263,-0.556,3.008,
10Q1,1,1,1,2009,2010,Q1,-4.384,-3.878,-4.939,-4.417,-4.11,6.767,0.519,0.185,-5.858,
10Q1,0,-3,1,2010,2010,Q1,2.944,0.976,8.113,-0.761,-0.608,6.92,1.933,-0.105,5.534,
10Q1,-1,-7,1,2011,2010,Q1,3.086,3.223,0.86,0.916,0.809,6.436,1.12,0.954,5.028,
10Q1,-2,-11,1,2012,2010,Q1,2.331,1.927,1.113,1.248,1.229,5.875,2.43,1.899,5.232,
09Q4,1,4,4,2008,2009,Q4,-10.397,-13.483,-9.047,-0.901,-0.075,3.95,4.263,-0.556,3.008,
09Q4,0,0,4,2009,2009,Q4,-4.209,-3.509,-4.461,-3.637,-4.387,7.049,-0.535,-0.248,-6.805,
09Q4,-1,-4,4,2010,2009,Q4,3.744,3.187,4.907,-0.996,-0.005,7.301,1.35,-0.277,4.816,
09Q4,-2,-8,4,2011,2009,Q4,3.71,3.331,2.958,1.318,1.138,6.664,1.493,1.079,6.132,
09Q4,-3,-12,4,2012,2009,Q4,3.31,2.76,2.597,2.114,1.965,5.935,1.946,1.879,6.319,
09Q3,1,3,3,2008,2009,Q3,-10.397,-13.483,-9.047,-0.901,-0.075,3.95,4.263,-0.229,3.008,
09Q3,0,-1,3,2009,2009,Q3,-4.436,-3.296,-4.078,-3.034,-4.472,7.365,-0.408,-1.128,-9.499,
09Q3,-1,-5,3,2010,2009,Q3,3.246,2.701,3.287,-0.791,0.816,8.074,0.773,-0.228,5.584,
09Q3,-2,-9,3,2011,2009,Q3,3.06,2.322,2.056,0.876,0.95,7.474,1.36,1.504,7.34,
09Q3,-3,-13,3,2012,2009,Q3,3.999,3.477,3.467,1.857,1.638,6.614,1.423,2.081,6.691,
09Q2,2,6,2,2007,2009,Q2,-0.416,-0.523,-4.876,1.261,0.294,2.633,4.85,1,6.273,
09Q2,1,2,2,2008,2009,Q2,-10.585,-13.498,-10.167,-0.901,-0.075,3.95,4.263,-0.195,3.122,
09Q2,0,-2,2,2009,2009,Q2,-6.784,-3.221,-13.757,-2.937,-4.594,7.366,0.52,-2.721,-13.904,
09Q2,-1,-6,2,2010,2009,Q2,3.142,1.704,5.702,-0.63,0.787,8.058,0.294,-0.634,7.015,
09Q2,-2,-10,2,2011,2009,Q2,2.786,2.352,0.486,0.811,0.902,7.467,1.224,1.796,7.125,
09Q1,2,5,1,2007,2009,Q1,-0.416,-0.523,-4.876,1.261,0.294,2.633,4.85,1.002,6.273,
09Q1,1,1,1,2008,2009,Q1,-10.636,-13.498,-10.467,-0.901,-0.075,3.95,4.263,-0.592,3.122,
09Q1,0,-3,1,2009,2009,Q1,-5.209,-3.342,-10.152,-2.354,-2.484,6.96,0.527,-2.473,-7.579,
09Q1,-1,-7,1,2010,2009,Q1,0.009,0.948,-7.801,-0.321,0.432,7.6,0.667,-0.213,4.097,
09Q1,-2,-11,1,2011,2009,Q1,2.357,2.177,-0.771,0.509,0.466,7.155,1.563,1.235,5.977,
08Q4,1,4,4,2007,2008,Q4,-0.416,-0.523,-4.876,1.066,0.048,2.65,4.85,1.002,6.273,
08Q4,0,0,4,2008,2008,Q4,-10.774,-14.235,-9.784,-0.036,0.363,3.941,4.542,-0.224,4.9,
08Q4,-1,-4,4,2009,2008,Q4,-5.732,-7.573,-8.669,-1.412,-2.177,5.796,2.529,-0.717,4.724,
08Q4,-2,-8,4,2010,2008,Q4,6.616,8.436,-2.235,0.417,-0.009,5.925,1.925,1.775,8.367,
08Q4,-3,-12,4,2011,2008,Q4,5.683,6.825,0.195,1.187,1.219,5.431,1.81,2.571,6.224,
08Q3,1,3,3,2007,2008,Q3,-0.416,-0.523,-4.876,1.066,0.048,2.65,4.85,1.294,6.273,
08Q3,0,-1,3,2008,2008,Q3,-9.062,-12.064,-7.615,-0.062,-0.484,3.693,4.784,0.129,3.814,
08Q3,-1,-5,3,2009,2008,Q3,-1.163,-1.395,-5.842,-0.768,-1.122,4.379,2.864,0.062,4.918,
08Q3,-2,-9,3,2010,2008,Q3,4.972,5.937,0.372,0.756,0.48,4.357,2.214,1.989,5.738,
08Q3,-3,-13,3,2011,2008,Q3,3.902,4.807,-0.291,1.436,1.438,4.158,3.051,2.448,4.288,
08Q2,2,6,2,2006,2008,Q2,0.603,3.287,-10.197,2.569,2.198,2.475,5.839,1.004,,
08Q2,1,2,2,2007,2008,Q2,-1.25,-1.149,-3.529,1.066,0.048,2.65,4.85,1.459,,
08Q2,0,-2,2,2008,2008,Q2,-4.622,-7.079,-7.975,-0.165,-0.585,3.712,5.045,-0.075,,
08Q2,-1,-6,2,2009,2008,Q2,1.349,0.732,-0.242,-0.179,-0.536,4.205,2.191,0.353,,
08Q2,-2,-10,2,2010,2008,Q2,2.149,1.929,1.51,1.132,0.853,4.14,1.962,2.17,,
08Q1,2,5,1,2006,2008,Q1,0.603,3.287,-10.197,2.569,2.198,2.475,5.839,0.89,,
08Q1,1,1,1,2007,2008,Q1,-1.25,-1.149,-3.529,1.066,0.048,2.65,4.85,1.303,,
08Q1,0,-3,1,2008,2008,Q1,-1.911,-2.224,-3.319,0.066,-0.377,3.494,4.263,0.284,,
08Q1,-1,-7,1,2009,2008,Q1,-0.094,-1.181,0.875,0.714,0.216,3.889,2.487,0.862,,
08Q1,-2,-11,1,2010,2008,Q1,1.789,0.931,1.779,1.154,0.843,3.859,2.349,2.095,,
07Q4,2,8,4,2005,2007,Q4,7.299,8.493,2.385,3.127,2.871,2.7,3.805,3.985,,
07Q4,1,4,4,2006,2007,Q4,0.603,3.287,-10.197,2.46,2.277,2.358,5.839,0.89,,
07Q4,0,0,4,2007,2007,Q4,-1.097,-0.808,-3.358,2.078,0.901,2.492,4.954,1.644,,
07Q4,-1,-4,4,2008,2007,Q4,0.309,-0.223,-0.61,1.642,0.404,2.827,3.756,1.923,,
07Q4,-2,-8,4,2009,2007,Q4,1.055,0.849,0.922,1.169,0.861,3.01,3.107,2.187,,
07Q3,2,7,3,2005,2007,Q3,7.299,8.493,2.385,3.127,2.871,2.7,3.805,3.985,,
07Q3,1,3,3,2006,2007,Q3,0.603,3.287,-10.197,2.46,2.277,2.358,5.839,0.89,,
07Q3,0,-1,3,2007,2007,Q3,-1.432,-0.909,-2.49,1.996,1.737,2.506,4.752,1.921,,
07Q3,-1,-5,3,2008,2007,Q3,0.473,0.108,-0.9,1.673,1.582,2.772,3.665,2.231,,
07Q3,-2,-9,3,2009,2007,Q3,1.434,1.262,0.981,1.279,0.994,2.977,3.025,2.079,,
07Q2,2,6,2,2005,2007,Q2,7.299,8.493,2.385,3.127,2.871,2.7,3.805,2.871,,
07Q2,1,2,2,2006,2007,Q2,-0.003,2.311,-9.309,2.46,2.277,2.358,5.839,0.394,,
07Q2,0,-2,2,2007,2007,Q2,-0.17,0.864,-3.616,1.928,1.726,2.38,4.807,1.425,,
07Q2,-1,-6,2,2008,2007,Q2,1.553,1.194,1.128,1.364,1.279,2.647,3.765,1.957,,
07Q2,-2,-10,2,2009,2007,Q2,1.553,1.439,1.133,1.157,1.136,2.959,3.32,1.785,,
07Q1,2,5,1,2005,2007,Q1,7.299,8.493,2.385,3.22,3,2.792,3.805,2.878,,
07Q1,1,1,1,2006,2007,Q1,-0.003,2.311,-9.309,2.693,2.93,2.592,5.839,0.181,,
07Q1,0,-3,1,2007,2007,Q1,0.767,1.262,-2.955,1.646,2.101,2.644,4.847,1.802,,
07Q1,-1,-7,1,2008,2007,Q1,1.377,1.212,1.292,1.189,1.344,2.806,3.793,2.174,,
07Q1,-2,-11,1,2009,2007,Q1,1.771,1.503,1.802,1.023,1.046,3.125,3.448,2.078,,
06Q4,2,8,4,2004,2006,Q4,8.333,7.275,10.601,2.775,1.38,3.267,3.307,5.43,,
06Q4,1,4,4,2005,2006,Q4,7.299,8.493,2.385,3.22,3,2.792,3.805,2.842,,
06Q4,0,0,4,2006,2006,Q4,0.449,2.375,-8.554,2.632,2.648,2.715,5.125,1.114,,
06Q4,-1,-4,4,2007,2006,Q4,1.952,1.265,0.237,1.501,1.502,2.893,4.405,1.775,,
06Q4,-2,-8,4,2008,2006,Q4,1.558,0.972,2.588,1.173,1.148,3.062,3.444,1.783,,
06Q3,2,7,3,2004,2006,Q3,8.333,7.275,10.601,2.775,1.38,3.267,3.307,4.564,,
06Q3,1,3,3,2005,2006,Q3,6.381,6.988,2.717,3.22,3,2.792,3.805,3.029,,
06Q3,0,-1,3,2006,2006,Q3,1.52,2.874,-7.419,2.472,2.061,2.843,5.175,0.996,,
06Q3,-1,-5,3,2007,2006,Q3,2.395,1.711,2.333,1.215,1.114,3.058,4.212,2.034,,
06Q3,-2,-9,3,2008,2006,Q3,1.495,1.187,1.377,1.147,1.166,3.237,3.186,2.032,,
06Q2,2,6,2,2004,2006,Q2,8.333,7.275,10.601,2.775,1.38,3.267,3.307,4.564,,
06Q2,1,2,2,2005,2006,Q2,6.381,6.988,2.717,3.22,3,2.792,3.805,3.057,,
06Q2,0,-2,2,2006,2006,Q2,2.753,3.124,0.503,2.496,2.506,2.515,3.817,3.044,,
06Q2,-1,-6,2,2007,2006,Q2,1.958,1.845,1.534,1.324,1.59,2.424,3.166,2.154,,
06Q2,-2,-10,2,2008,2006,Q2,1.375,1.336,0.498,1.164,1.425,2.463,3.044,1.958,,
06Q1,2,5,1,2004,2006,Q1,8.333,7.275,10.601,2.623,1.212,3.267,3.307,4.542,,
06Q1,1,1,1,2005,2006,Q1,6.764,6.988,2.717,2.78,3.666,2.767,3.655,3.678,,
06Q1,0,-3,1,2006,2006,Q1,3.448,3.897,2.402,2.061,2.98,2.576,3.833,3.167,,
06Q1,-1,-7,1,2007,2006,Q1,1.498,1.342,1.01,1.393,1.161,2.529,3.312,2.412,,
06Q1,-2,-11,1,2008,2006,Q1,1.578,1.447,1.145,1.255,1.301,2.678,3.247,2.196,,
05Q4,2,8,4,2003,2005,Q4,-0.135,4.761,-9.648,1.946,0.785,3.892,2.33,2.435,,
05Q4,1,4,4,2004,2005,Q4,8.333,7.275,10.601,2.623,1.212,3.267,3.307,4.531,,
05Q4,0,0,4,2005,2005,Q4,6.731,6.925,3.369,2.728,3.389,2.741,3.665,4.256,,
05Q4,-1,-4,4,2006,2005,Q4,2.402,2.486,2.67,1.816,2.229,2.682,3.9,2.72,,
05Q4,-2,-8,4,2007,2005,Q4,1.466,1,2.365,1.289,1.175,2.944,3.37,2.487,,
05Q3,2,7,3,2003,2005,Q3,-0.135,4.761,-9.648,1.946,0.785,3.892,2.33,1.821,,
05Q3,1,3,3,2004,2005,Q3,8.333,7.275,10.601,2.623,1.212,3.267,3.307,3.553,,
05Q3,0,-1,3,2005,2005,Q3,6.393,5.627,6.569,2.309,2.575,2.764,3.395,3.62,,
05Q3,-1,-5,3,2006,2005,Q3,1.233,0.755,2.93,1.552,1.477,2.763,3.769,2.669,,
05Q3,-2,-9,3,2007,2005,Q3,1.234,0.72,2.25,1.273,1.24,2.989,3.504,2.209,,
05Q2,2,6,2,2003,2005,Q2,-0.13,4.76,-9.65,1.95,0.78,3.89,2.33,1.82,,
05Q2,1,2,2,2004,2005,Q2,8.27,6.45,10.27,2.62,1.21,3.27,3.31,3.41,,
05Q2,0,-2,2,2005,2005,Q2,6.74,6.38,8.39,2.15,2.15,2.79,4.02,2.99,,
05Q2,-1,-6,2,2006,2005,Q2,1.5,0.85,3.6,1.63,1.4,2.82,3.6,2.32,,
05Q2,-2,-10,2,2007,2005,Q2,1.3,0.75,2.47,1.55,1.47,2.96,3.48,2.5,,
05Q1,2,5,1,2003,2005,Q1,-0.135246389,4.761037678,-9.647702141,1.946,0.785,3.892,2.33,2.268,,
05Q1,1,1,1,2004,2005,Q1,8.024776979,6.451814931,10.26616509,2.623,1.212,3.267,3.307,2.781,,
05Q1,0,-3,1,2005,2005,Q1,4.94,3.951,8.048,2.032,1.595,3.232,3.784,2.719,,
