Version 1.0,All ages,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90+,
Less: Labor Income ,"14,521",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,985,"1,908","2,657","3,612","5,880","9,002","10,620","12,028","14,069","16,493","18,854","20,934","22,569","23,859","24,541","25,133","25,848","26,378","26,735","27,233","27,727","28,245","28,555","28,907","29,454","29,675","29,938","30,255","30,231","30,218","30,184","30,007","29,930","29,417","28,994","28,583","28,253","27,668","26,844","26,353","25,088","23,970","21,308","19,928","16,941","13,069","10,842","8,184","4,920","2,831","1,489","1,283","1,079",862,787,666,654,576,553,513,491,453,427,396,389,378,340,354,332,311,298,291,274,270,240,
Earnings,"13,810",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,949,"1,862","2,593","3,525","5,796","8,901","10,474","11,847","13,844","16,200","18,502","20,485","22,058","23,259","23,878","24,403","25,041","25,488","25,781","26,220","26,649","27,047","27,346","27,627","28,133","28,292","28,565","28,836","28,771","28,773","28,660","28,536","28,430","27,918","27,440","27,017","26,740","26,103","25,329","24,842","23,618","22,613","19,984","18,670","15,663","11,913","9,758","7,202","4,116","2,119",893,750,590,452,413,354,322,281,258,250,223,207,192,191,182,160,156,166,146,150,140,133,136,126,120,
Self-employment Labor Income,712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,46,64,87,84,101,146,181,225,293,352,449,511,600,662,730,807,891,954,"1,013","1,079","1,198","1,209","1,280","1,321","1,383","1,372","1,419","1,460","1,445","1,523","1,471","1,500","1,499","1,553","1,566","1,512","1,565","1,515","1,511","1,470","1,357","1,324","1,257","1,279","1,156","1,084",982,804,712,596,533,490,410,374,312,331,295,294,263,268,246,235,205,207,218,183,188,187,161,158,158,138,144,119,
Reallocations,"2,641","9,991","10,068","10,084","10,642","11,237","12,165","12,882","13,634","14,408","15,263","13,672","14,540","15,443","15,961","16,410","16,715","15,916","15,172","14,152","13,075","10,965","8,193","7,045","5,983","4,245","1,965",-356,"-2,676","-4,226","-5,423","-6,087","-6,620","-7,624","-8,341","-8,960","-9,690","-10,288","-10,926","-11,511","-12,099","-12,789","-13,118","-13,400","-13,687","-13,647","-13,619","-13,341","-12,868","-12,600","-11,951","-11,535","-11,212","-10,812","-9,975","-8,999","-8,271","-6,580","-4,950","-1,786",-142,"2,757","6,108","7,884","10,042","12,792","14,519","15,791","16,071","16,354","16,590","16,671","16,773","16,780","17,024","17,181","17,386","17,610","17,888","18,328","18,883","19,445","20,005","20,616","21,583","22,648","23,673","24,719","25,750","27,053","28,322","32,424",
Transfers,-267,"10,014","10,091","10,107","10,666","11,261","12,191","12,909","13,662","14,437","15,295","13,705","14,575","15,479","16,000","16,450","16,758","15,963","15,238","14,256","11,740","5,147",408,"-1,596","-3,540","-5,333","-7,073","-8,058","-9,001","-9,431","-10,208","-10,973","-11,851","-12,541","-13,306","-14,028","-15,106","-15,605","-16,300","-16,900","-17,474","-18,074","-18,528","-19,204","-18,922","-18,860","-18,203","-17,975","-17,418","-16,622","-16,178","-14,227","-13,774","-12,915","-12,369","-11,076","-8,982","-7,376","-4,890","-2,579",-189,"3,140","6,643","8,610","10,414","13,092","12,794","13,000","13,227","13,426","13,829","13,514","13,801","14,069","14,557","14,967","14,596","15,082","15,550","16,150","16,676","17,492","17,975","18,525","19,481","20,386","21,638","22,593","23,519","24,755","25,963","29,843",
Public Transfers,-246,"13,977","10,659","8,022","8,122","9,029","10,118","11,011","9,102","7,486","8,212","6,688","7,499","8,367","7,869","8,095","8,133","7,407","5,104","2,871","3,774","3,047",695,"-1,551","-3,474","-5,250","-6,809","-7,773","-8,699","-8,979","-9,590","-10,028","-10,595","-11,122","-11,491","-11,850","-12,018","-12,255","-12,579","-12,864","-13,114","-13,076","-13,190","-13,380","-13,249","-13,344","-12,981","-12,725","-12,526","-12,327","-12,312","-11,134","-11,068","-10,708","-10,376","-9,430","-7,750","-6,409","-4,162","-1,952",380,"3,564","6,952","8,823","10,541","13,241","12,906","13,089","13,292","13,495","13,899","13,609","13,903","14,167","14,656","15,065","14,695","15,082","15,550","16,150","16,676","17,492","17,975","18,525","19,481","20,386","21,638","22,593","23,519","24,755","25,963","29,843",
"Public Transfers, Inflows","11,124","14,954","11,683","9,090","9,241","10,203","11,362","12,323","10,484","8,939","9,728","8,253","9,226","10,228","10,479","10,750","11,019","11,588","11,026","9,915","11,760","12,182","11,250","10,452","9,781","9,083","8,456","8,123","7,690","7,661","7,510","7,273","7,084","6,860","6,844","6,786","6,870","6,812","6,719","6,685","6,626","6,713","6,668","6,606","6,631","6,623","6,941","6,970","6,983","6,992","6,991","7,642","7,638","7,646","7,656","7,684","8,897","9,195","9,575","10,754","11,310","13,288","15,230","16,209","17,587","20,009","19,447","19,512","19,543","19,657","19,785","19,224","19,352","19,448","19,805","20,094","19,679","20,033","20,354","20,896","21,412","22,231","22,708","23,223","24,135","25,063","26,287","27,161","28,062","29,301","30,491","34,136",
"Public Transfers, Outflows","11,370",978,"1,024","1,068","1,119","1,174","1,244","1,312","1,382","1,453","1,516","1,566","1,727","1,860","2,609","2,655","2,886","4,182","5,922","7,045","7,986","9,135","10,555","12,002","13,255","14,333","15,265","15,896","16,390","16,640","17,100","17,301","17,679","17,983","18,335","18,637","18,888","19,067","19,298","19,549","19,739","19,789","19,858","19,986","19,879","19,967","19,922","19,696","19,509","19,319","19,303","18,776","18,706","18,353","18,032","17,114","16,647","15,604","13,737","12,706","10,930","9,724","8,278","7,385","7,046","6,767","6,541","6,423","6,251","6,162","5,886","5,615","5,449","5,281","5,149","5,028","4,985","4,951","4,804","4,746","4,735","4,739","4,734","4,697","4,654","4,677","4,649","4,568","4,543","4,545","4,528","4,293",
"Public Transfers, Education",0,-148,-155,-162,313,787,"1,258","1,730","2,201","2,673","3,145","3,620","4,077","4,539","4,516","4,599","4,668","4,562","4,459","3,972","3,513","3,125","2,696","2,212","1,670","1,175",714,297,-110,-266,-467,-647,-857,"-1,052","-1,146","-1,237","-1,316","-1,384","-1,462","-1,520","-1,571","-1,592","-1,628","-1,669","-1,665","-1,703","-1,718","-1,710","-1,708","-1,712","-1,755","-1,719","-1,751","-1,735","-1,727","-1,633","-1,599","-1,499","-1,268","-1,208",-993,-919,-830,-776,-806,-862,-892,-918,-897,-890,-858,-819,-795,-770,-751,-735,-729,-725,-704,-695,-694,-696,-696,-691,-684,-688,-684,-672,-670,-670,-667,-633,
"Public Transfers, Education, Inflows","1,263",0,0,0,482,964,"1,446","1,928","2,410","2,892","3,374","3,856","4,339","4,821","4,910","5,000","5,090","5,180","5,270","4,953","4,636","4,320","4,003","3,686","3,288","2,891","2,493","2,095","1,697","1,527","1,357","1,186","1,016",845,790,736,681,626,571,541,510,480,450,420,397,375,353,331,309,280,251,222,194,165,145,125,105,85,64,52,39,26,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Public Transfers, Education, Outflows","1,263",148,155,162,169,178,188,199,209,220,229,237,261,281,395,402,422,618,811,980,"1,123","1,194","1,307","1,474","1,618","1,715","1,779","1,798","1,808","1,793","1,823","1,833","1,873","1,898","1,937","1,973","1,997","2,010","2,033","2,061","2,081","2,072","2,078","2,088","2,063","2,078","2,071","2,041","2,017","1,992","2,006","1,942","1,945","1,900","1,872","1,758","1,703","1,584","1,332","1,260","1,032",945,843,776,806,862,892,918,897,890,858,819,795,770,751,735,729,725,704,695,694,696,696,691,684,688,684,672,670,670,667,633,
"Public Transfers, Health",0,718,710,702,693,684,390,378,365,353,342,348,334,353,265,300,320,137,-43,-229,-384,-456,-575,-758,-899,-986,"-1,033","-1,030","-1,014",-991,"-1,019","-1,023","-1,063","-1,085","-1,120","-1,152","-1,170","-1,176","-1,193","-1,241","-1,280","-1,285","-1,306","-1,334","-1,269","-1,251","-1,207","-1,136","-1,072","-1,026","-1,025",-932,-918,-849,-782,-615,-517,-344,-19,95,388,519,666,773,802,800,828,861,948,"1,054","1,188","1,332","1,457","1,583","1,790","1,994","2,186","2,376","2,585","2,827","3,060","3,290","3,522","3,759","4,146","4,521","4,906","5,299","5,682","6,138","6,598","8,218",
"Public Transfers, Health, Inflows","1,460",889,889,889,889,889,607,607,607,607,607,621,636,679,722,765,808,851,894,904,914,924,935,945,971,997,"1,023","1,049","1,075","1,082","1,088","1,095","1,102","1,109","1,118","1,127","1,137","1,146","1,156","1,141","1,125","1,110","1,095","1,079","1,115","1,151","1,187","1,223","1,259","1,276","1,294","1,311","1,329","1,347","1,382","1,416","1,451","1,486","1,521","1,551","1,580","1,610","1,640","1,670","1,733","1,796","1,859","1,922","1,985","2,082","2,180","2,278","2,375","2,473","2,658","2,843","3,028","3,213","3,399","3,630","3,862","4,094","4,326","4,558","4,937","5,317","5,696","6,076","6,455","6,912","7,370","8,950",
"PublicTransfers,  Health, Outflows","1,460",171,179,187,196,205,217,229,242,254,265,274,302,325,456,464,487,714,937,"1,133","1,298","1,380","1,510","1,703","1,870","1,983","2,056","2,078","2,089","2,073","2,107","2,118","2,165","2,193","2,238","2,280","2,307","2,323","2,349","2,382","2,405","2,395","2,401","2,414","2,384","2,402","2,394","2,359","2,331","2,302","2,318","2,244","2,247","2,196","2,163","2,031","1,968","1,830","1,540","1,456","1,192","1,092",974,897,931,996,"1,030","1,061","1,037","1,028",992,946,918,890,868,849,843,838,813,804,802,804,804,799,791,795,790,777,774,774,771,732,
"Public Transfers, Pensions",0,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,-46,31,-434,-434,-434,"-1,146","-1,823","-2,165","-2,464","-2,898","-3,374","-3,877","-4,310","-4,653","-4,916","-4,998","-5,110","-5,251","-5,346","-5,409","-5,408","-5,499","-5,580","-5,645","-5,702","-5,674","-5,707","-5,763","-5,825","-5,812","-5,516","-5,488","-5,462","-5,439","-5,329","-4,622","-4,531","-4,473","-4,337","-4,174","-3,458","-2,924","-2,389",-698,55,"3,382","6,065","7,464","9,331","12,357","13,163","13,470","13,475","13,495","13,556","12,864","12,864","12,833","12,838","12,779","12,015","12,019","11,988","11,958","11,904","12,155","12,066","12,010","11,955","11,920","12,177","12,088","12,029","12,034","11,992","11,597",
"Public Transfers, Pensions, Inflows","3,020",51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,128,128,128,128,95,95,95,95,95,131,131,131,131,131,186,186,186,186,186,281,281,281,281,281,418,418,418,418,418,713,713,713,713,713,"1,319","1,320","1,321","1,321","1,321","1,929","2,213","2,540","3,680","4,165","6,861","8,769","9,721","11,049","13,428","13,810","13,824","13,795","13,777","13,768","13,068","13,060","13,022","13,020","12,950","12,181","12,179","12,140","12,107","12,049","12,295","12,199","12,139","12,084","12,047","12,305","12,211","12,147","12,152","12,108","11,704",
"Public Transfers, Pensions, Outflows","3,020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,97,563,563,563,"1,241","1,917","2,260","2,559","2,993","3,505","4,008","4,441","4,784","5,047","5,184","5,297","5,437","5,532","5,595","5,689","5,779","5,861","5,926","5,983","6,091","6,124","6,180","6,243","6,229","6,229","6,201","6,175","6,152","6,042","5,941","5,851","5,794","5,658","5,494","5,387","5,136","4,929","4,378","4,110","3,480","2,704","2,257","1,719","1,072",647,354,320,282,212,204,196,189,182,171,165,160,153,149,145,141,133,129,129,127,128,123,117,117,116,108,
"Public Transfers, Other in-kind",0,"4,111","4,092","4,075","4,055","4,033","4,485","4,458","4,430","4,402","4,376","1,905","1,842","1,789","1,551","1,583","1,582","1,132",691,276,-68,-230,-498,-905,"-1,294","-1,564","-1,747","-1,818","-1,862","-1,806","-1,862","-1,867","-1,950","-1,993","-2,101","-2,200","-2,269","-2,311","-2,377","-2,451","-2,504","-2,484","-2,500","-2,530","-2,466","-2,506","-2,490","-2,415","-2,354","-2,277","-2,301","-2,124","-2,120","-1,993","-1,936","-1,660","-1,535","-1,245",-619,-423,170,404,673,856,772,623,539,464,511,563,676,810,905,"1,000","1,217","1,430","1,614","1,794","2,018","2,381","2,725","3,064","3,405","3,759","4,362","4,938","5,535","6,151","6,744","7,519","8,302","10,851",
"Public Transfers, Other in-kind, Inflows","3,222","4,488","4,488","4,487","4,487","4,486","4,965","4,964","4,964","4,963","4,961","2,509","2,508","2,507","2,557","2,608","2,658","2,708","2,759","2,778","2,797","2,816","2,835","2,854","2,833","2,812","2,791","2,770","2,749","2,769","2,789","2,808","2,828","2,848","2,840","2,832","2,824","2,816","2,808","2,806","2,804","2,802","2,800","2,798","2,797","2,795","2,794","2,793","2,791","2,804","2,816","2,829","2,841","2,853","2,839","2,824","2,810","2,795","2,780","2,791","2,802","2,813","2,824","2,835","2,828","2,821","2,813","2,806","2,799","2,832","2,865","2,898","2,932","2,965","3,134","3,304","3,474","3,643","3,813","4,155","4,496","4,838","5,180","5,522","6,108","6,694","7,280","7,866","8,452","9,228","10,004","12,467",
"Public Transfers, Other in-kind, Outflows","3,222",377,395,412,432,453,480,506,533,561,585,604,666,718,"1,007","1,025","1,076","1,576","2,068","2,501","2,865","3,047","3,333","3,760","4,128","4,376","4,538","4,588","4,611","4,575","4,651","4,676","4,778","4,841","4,941","5,033","5,093","5,127","5,185","5,257","5,308","5,286","5,300","5,328","5,262","5,301","5,284","5,207","5,146","5,081","5,118","4,953","4,961","4,847","4,775","4,484","4,345","4,040","3,399","3,214","2,632","2,410","2,151","1,979","2,056","2,198","2,275","2,342","2,289","2,269","2,190","2,088","2,027","1,965","1,917","1,874","1,860","1,849","1,795","1,774","1,771","1,774","1,775","1,763","1,746","1,756","1,745","1,715","1,708","1,709","1,703","1,615",
"Public Transfers, Other cash",-246,"9,244","5,960","3,355","3,009","3,474","3,934","4,394","2,053",7,297,764,"1,195","1,634","1,486","1,561","1,609","1,545",432,-714,"1,147","1,754",895,66,-487,-977,"-1,368","-1,346","-1,403","-1,262","-1,326","-1,492","-1,615","-1,741","-1,778","-1,851","-1,854","-1,884","-1,967","-2,007","-2,057","-2,042","-2,049","-2,085","-2,024","-2,073","-2,050","-1,975","-1,929","-1,873","-1,902","-1,736","-1,749","-1,658","-1,594","-1,348",-641,-398,133,282,760,179,378,506,442,324,-732,-788,-744,-728,-662,-579,-529,-478,-438,-403,-391,-382,-338,-320,-318,-321,-322,-311,-297,-306,-296,-272,-266,-267,-262,-190,
"Public Transfers, Other cash, Inflows","2,159","9,526","6,255","3,662","3,332","3,812","4,292","4,772","2,452",426,734,"1,215","1,692","2,170","2,238","2,326","2,412","2,721","1,976","1,153","3,285","4,027","3,382","2,871","2,594","2,289","2,019","2,078","2,038","2,153","2,145","1,997","1,952","1,872","1,910","1,905","1,947","1,943","1,903","1,916","1,905","1,903","1,906","1,891","1,904","1,884","1,894","1,911","1,912","1,919","1,917","1,961","1,954","1,960","1,970","1,998","2,602","2,617","2,670","2,681","2,724","1,977","1,984","1,983","1,976","1,964",965,960,964,966,972,980,984,989,993,996,997,998,"1,002","1,004","1,004","1,004","1,003","1,004","1,006","1,005","1,006","1,008","1,009","1,009","1,009","1,016",
"Public Transfers, Other cash, Outflows","2,405",282,295,308,322,338,358,378,398,418,437,451,497,536,751,765,803,"1,176","1,543","1,867","2,138","2,274","2,488","2,806","3,081","3,266","3,387","3,424","3,441","3,415","3,471","3,490","3,566","3,613","3,688","3,756","3,801","3,827","3,870","3,923","3,962","3,945","3,955","3,976","3,928","3,957","3,944","3,886","3,840","3,792","3,819","3,697","3,702","3,617","3,564","3,347","3,243","3,015","2,537","2,399","1,964","1,798","1,605","1,477","1,534","1,640","1,698","1,748","1,708","1,694","1,634","1,559","1,513","1,467","1,431","1,399","1,388","1,380","1,340","1,324","1,322","1,324","1,325","1,316","1,303","1,310","1,302","1,280","1,275","1,275","1,271","1,206",
Private Transfers,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
"Private Transfers, Inflows",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
"Private Transfers, Outflows",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
Interhousehold Transfers,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
"Interhousehold Transfers, Inflows",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
