State,1993Q1,1993Q2,1993Q3,1993Q4,1994Q1,1994Q2,1994Q3,1994Q4,1995Q1,1995Q2,1995Q3,1995Q4,1996Q1,1996Q2,1996Q3,1996Q4,1997Q1,1997Q2,1997Q3,1997Q4,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2
NY,N/A,N/A,N/A,N/A,0.01,-0.01,0.02,-0.05,0.06,-0.01,-0.02,0.00,-0.04,-0.04,-0.04,-0.03,-0.06,0.01,0.05,-0.02,0.03,0.02,0.01,0.01,0.07,0.02,-0.06,0.02,-0.04,0.02,0.08,0.03,0.13,0.12,-0.11,-0.06,-0.13,-0.15,0.13,0.00,0.02,0.04,-0.02,0.08,0.07,0.02,0.03,-0.05,-0.02,0.00,0.03,0.06,0.07,0.15,0.11,0.05,-0.02,-0.02,0.03,0.05,0.09,0.02,0.16,0.08,-0.13,-0.08,-0.13,0.01,0.14,0.08,0.03,0.04,0.12,0.30,0.10,0.10,0.03,-0.01,0.02,-0.16,-0.21,-0.15,0.02,0.14,0.24,0.17
NJ,N/A,N/A,N/A,N/A,-0.04,-0.03,-0.02,0.03,0.04,0.07,-0.01,-0.02,-0.05,-0.08,-0.08,-0.03,0.02,0.04,0.05,0.00,-0.03,0.01,-0.04,-0.04,0.26,-0.12,-0.06,0.02,-0.17,0.20,0.23,0.07,0.14,0.05,0.07,-0.05,-0.16,-0.07,-0.09,-0.07,0.03,0.00,-0.05,0.12,0.01,0.04,0.05,-0.07,0.08,0.03,0.03,0.16,0.10,0.13,0.10,-0.02,-0.03,-0.09,-0.03,0.01,0.00,0.11,0.16,0.12,-0.18,-0.21,-0.26,-0.16,0.18,0.23,0.30,0.13,0.21,0.20,0.09,0.21,0.05,0.03,0.02,-0.16,-0.21,-0.20,0.00,0.07,0.19,0.30
PA,N/A,N/A,N/A,N/A,-0.01,0.00,0.00,0.02,0.05,-0.04,-0.03,-0.05,-0.07,-0.06,-0.06,-0.04,-0.04,0.02,0.08,0.00,0.05,0.05,0.00,0.05,0.06,-0.01,-0.03,-0.03,-0.03,0.03,0.04,0.04,0.01,0.01,0.07,0.05,0.00,0.05,0.00,-0.03,0.06,-0.02,-0.01,0.04,-0.04,-0.03,-0.02,-0.05,0.01,0.00,0.01,0.04,0.03,0.09,0.05,0.04,-0.01,-0.02,-0.01,-0.02,0.04,0.06,0.18,0.12,0.03,0.00,-0.06,0.02,0.08,0.07,0.05,0.06,0.13,0.18,0.15,0.16,0.08,0.10,0.10,-0.04,-0.03,-0.07,-0.05,0.02,0.08,0.13
AZ,N/A,N/A,N/A,N/A,0.12,-0.09,0.00,-0.01,-0.04,-0.21,0.14,-0.20,-0.13,0.22,-0.09,0.34,0.15,-0.08,-0.08,-0.21,-0.10,0.01,-0.08,0.16,0.04,-0.03,-0.06,0.03,0.12,0.18,0.13,0.01,0.02,0.04,0.02,-0.01,-0.04,-0.04,-0.07,0.04,0.03,0.11,0.16,0.06,0.03,0.06,0.15,0.02,0.17,0.14,0.04,-0.03,-0.13,-0.14,-0.13,-0.06,-0.05,0.03,0.06,0.05,-0.01,0.11,0.32,0.20,0.08,-0.11,-0.27,-0.12,0.01,0.01,0.05,-0.01,0.10,0.24,0.18,0.22,-0.01,0.08,0.10,-0.08,-0.09,-0.11,-0.01,0.10,0.22,0.18
CO,N/A,N/A,N/A,N/A,0.11,0.01,-0.19,-0.12,-0.01,0.03,0.15,0.02,-0.07,-0.13,-0.09,-0.01,-0.01,0.05,-0.50,-0.55,0.07,0.05,1.27,1.47,0.10,0.05,0.03,0.05,-0.01,0.04,0.05,-0.03,0.01,0.00,-0.01,-0.01,-0.05,-0.07,-0.14,-0.15,-0.12,-0.03,0.04,0.21,0.21,0.08,0.08,0.04,-0.01,0.05,0.04,-0.15,-0.01,0.00,0.00,0.12,0.01,0.07,0.05,0.07,0.09,0.04,0.19,0.08,-0.09,-0.16,-0.21,-0.07,0.05,0.09,0.03,0.04,0.14,0.21,0.17,0.13,0.03,0.04,0.08,0.02,0.02,0.02,0.05,0.04,0.09,0.13
ID,N/A,N/A,N/A,N/A,-0.10,-0.18,0.32,0.39,0.10,0.25,0.01,-0.04,0.07,-0.17,-0.15,-0.09,-0.10,0.16,0.16,0.18,0.14,-0.06,0.08,-0.08,-0.17,-0.06,-0.20,-0.11,0.02,0.17,0.21,0.04,0.02,-0.08,0.04,0.03,0.03,0.06,-0.02,0.08,0.12,0.05,0.02,0.05,0.03,0.01,0.03,0.08,0.07,0.01,-0.02,-0.03,0.01,0.11,0.11,0.09,0.07,0.04,-0.01,0.05,0.03,-0.01,0.11,-0.04,-0.25,-0.21,-0.29,-0.14,0.17,0.11,0.23,0.05,0.04,0.14,0.14,0.10,0.13,0.07,0.08,0.12,-0.22,-0.24,-0.28,-0.12,0.15,0.21
MT,N/A,N/A,N/A,N/A,-0.26,-0.06,0.09,-0.05,0.37,0.08,-0.03,0.01,-0.15,-0.90,-0.25,0.07,-0.08,7.73,0.35,0.00,0.09,0.01,-0.08,0.02,-0.10,-0.16,-1.00,-0.18,0.04,0.14,N/A,0.07,0.07,-1.00,0.08,0.08,0.01,N/A,0.00,0.00,0.00,0.10,-0.06,0.05,0.07,0.05,0.15,0.00,0.06,0.02,0.10,0.05,0.02,0.04,0.03,0.07,0.06,0.10,0.06,0.07,0.08,0.04,0.24,0.13,0.03,-0.05,-0.25,-0.11,-0.15,-0.08,-0.03,-0.10,0.10,0.10,0.22,0.31,0.15,0.13,0.06,0.00,-0.05,-0.07,0.04,-0.03,0.11,0.16
NM,N/A,N/A,N/A,N/A,0.11,-0.08,-0.02,-0.36,-0.02,0.08,-0.55,0.41,-0.16,-0.16,1.00,-0.14,0.08,0.02,0.04,0.19,0.10,0.12,0.10,-0.10,-0.02,0.26,0.00,0.03,0.12,-0.10,0.18,0.32,-0.07,-0.05,-0.01,-0.15,-0.02,-0.05,-0.09,-0.05,-0.02,0.09,-0.01,0.05,0.09,0.01,0.05,0.05,0.00,-0.02,-0.01,0.02,0.04,-0.02,0.01,-0.01,-0.04,0.07,0.08,0.02,0.08,0.20,0.27,0.13,-0.13,-0.28,-0.27,-0.07,0.15,0.12,-0.06,-0.09,0.00,0.12,0.18,0.14,0.17,0.15,0.11,0.08,0.03,0.05,0.09,0.08,0.07,0.06
NV,N/A,N/A,N/A,N/A,0.02,0.08,0.17,0.14,0.03,-0.08,-0.18,-0.06,-0.03,0.01,0.02,-0.07,-0.09,0.02,0.16,0.10,0.09,-0.07,0.06,0.01,0.14,0.12,-0.10,0.02,-0.10,0.07,0.06,0.04,0.14,0.09,0.19,0.04,0.00,-0.06,-0.09,-0.01,-0.07,0.00,-0.02,0.02,0.07,0.07,0.07,0.05,0.07,-0.07,-0.03,-0.09,-0.05,0.12,0.02,0.12,-0.01,-0.06,0.05,0.03,0.13,0.26,0.31,0.35,-0.05,-0.17,-0.23,-0.13,0.14,0.06,0.02,-0.08,-0.12,0.10,0.07,-0.06,0.09,-0.04,-0.08,0.04,-0.11,0.03,0.24,0.25,0.25,0.10
UT,N/A,N/A,N/A,N/A,-0.01,0.07,0.07,-0.17,-0.14,-0.06,-0.02,0.15,-0.30,-0.24,-0.31,-1.00,-0.42,-0.10,0.02,N/A,0.91,0.07,0.24,0.37,0.56,0.53,0.20,0.17,0.02,-0.04,0.01,-0.06,-0.08,0.03,-0.02,-0.23,-0.18,-0.10,-0.04,0.28,0.17,0.04,0.05,0.10,0.07,0.06,0.08,-0.06,0.02,0.00,0.02,0.10,0.06,0.12,0.04,0.05,0.05,0.04,0.11,0.12,0.06,0.10,0.04,0.09,0.00,-0.10,-0.08,-0.04,0.03,0.07,0.05,0.01,0.11,0.16,0.07,0.02,-0.02,0.13,0.17,0.13,0.05,-0.11,0.04,0.09,0.13,0.15
WY,N/A,N/A,N/A,N/A,-1.00,0.07,-0.07,-0.63,N/A,0.21,-1.00,1.19,-0.04,-0.17,N/A,0.15,-0.05,-0.12,-0.22,-0.06,-0.04,-1.00,0.70,0.23,0.07,N/A,0.15,0.11,0.16,-0.24,0.18,-0.36,-0.04,0.36,-0.40,0.22,-0.35,-0.09,-0.04,-0.26,0.26,0.25,-0.09,0.04,0.20,-0.03,0.21,0.18,0.20,-0.02,-0.01,-0.01,0.00,0.05,0.08,0.32,0.05,0.32,0.57,0.01,0.09,0.01,0.02,0.08,-0.32,-0.02,-0.49,-0.23,0.28,-0.08,0.39,0.14,-0.28,-0.20,-0.23,-0.83,0.42,0.62,0.31,6.18,0.35,-0.10,-0.44,0.30,-0.01,0.16
CT,N/A,N/A,N/A,N/A,-0.02,0.01,0.10,0.00,0.10,0.03,-0.08,0.01,-0.06,-0.05,-0.04,-0.10,-0.05,0.01,0.10,0.02,0.03,0.00,-0.02,0.03,0.07,0.02,-0.08,0.06,0.02,0.13,0.15,0.01,0.01,-0.04,0.09,0.02,-0.06,0.04,-0.09,0.02,0.13,-0.04,-0.02,-0.02,-0.03,0.00,0.02,-0.06,-0.03,-0.01,0.01,0.08,0.13,0.14,0.12,0.04,-0.14,-0.07,0.01,0.09,0.19,0.04,0.25,0.02,-0.12,-0.13,-0.18,0.06,0.08,0.21,0.12,-0.02,0.21,0.16,0.05,0.14,0.07,0.24,0.10,0.00,0.05,-0.12,0.09,0.11,0.10,0.24
ME,N/A,N/A,N/A,N/A,-0.14,-0.14,0.11,-0.03,0.05,0.55,-0.13,-0.04,-0.13,-0.38,-0.13,-0.98,-0.01,0.03,0.10,48.50,0.00,0.27,0.03,0.00,0.10,0.07,0.10,0.07,0.10,-0.06,0.03,-0.04,-0.01,0.03,-0.07,-0.02,-0.10,-0.11,-0.05,-0.11,0.08,0.02,-0.03,0.17,0.02,0.05,0.11,-0.05,0.00,-0.10,0.03,0.08,0.04,0.21,0.16,0.13,0.05,0.07,0.11,0.07,0.03,0.21,0.11,0.13,0.21,-0.03,0.03,-0.12,-0.15,0.07,-0.11,0.08,0.23,0.05,0.19,0.23,0.07,0.09,0.00,-0.20,-0.11,0.01,0.25,0.23,0.23,-0.11
MA,N/A,N/A,N/A,N/A,-0.02,0.00,0.09,0.02,0.08,-0.02,-0.05,-0.04,-0.01,0.01,-0.04,0.00,-0.05,0.02,0.07,0.00,0.01,0.01,0.00,0.03,0.09,-0.01,-0.09,-0.07,-0.04,0.06,0.12,0.09,0.02,0.00,0.07,-0.05,-0.04,-0.05,-0.08,-0.01,0.08,0.08,0.06,0.09,-0.01,0.01,0.01,-0.08,0.01,0.00,0.03,0.12,0.09,0.10,0.08,0.05,-0.01,0.00,0.05,0.08,0.08,0.08,0.19,0.06,-0.15,-0.15,-0.16,0.00,0.18,0.16,0.09,0.02,0.12,0.15,0.07,0.20,0.04,0.11,0.12,-0.09,-0.06,-0.04,0.07,0.07,0.19,0.14
NH,N/A,N/A,N/A,N/A,-0.17,-0.25,-0.02,0.21,0.32,0.34,0.24,-0.19,-0.20,-0.21,-0.26,-0.10,-0.03,0.03,0.09,0.26,0.24,0.09,0.22,-0.03,0.00,0.09,-0.04,0.17,0.04,0.07,-0.14,-0.06,0.05,-0.06,0.28,-0.08,-0.17,0.01,-0.15,0.08,-0.05,-0.18,-0.05,-0.16,-0.02,0.01,0.04,0.05,0.00,-0.05,0.02,0.01,0.03,0.16,0.05,0.08,0.03,0.06,0.08,-0.01,0.14,0.02,0.25,0.08,-0.16,-0.16,-0.24,0.03,0.33,0.14,0.35,0.06,0.03,0.24,0.02,0.12,0.00,0.07,0.02,-0.13,0.06,-0.12,0.12,0.37,0.06,0.13
RI,N/A,N/A,N/A,N/A,0.00,-0.02,-0.05,0.09,0.13,0.02,0.05,-0.13,-0.18,-0.06,-0.13,-0.04,0.00,0.01,0.05,0.10,0.26,0.18,0.02,0.06,-0.12,-0.17,0.00,-0.06,0.01,0.10,0.18,0.07,0.09,-0.01,-0.12,-0.07,-0.09,-0.14,0.06,0.04,0.03,0.08,-0.17,-0.04,-0.04,0.05,0.09,-0.04,-0.02,-0.03,-0.02,0.10,0.05,0.14,0.17,0.01,-0.04,0.06,-0.02,0.07,0.26,-0.02,0.36,0.17,-0.08,0.00,-0.23,-0.16,-0.06,0.14,0.26,0.28,0.33,0.13,0.00,0.08,0.15,0.12,0.10,0.12,0.10,0.15,0.09,-0.15,-0.12,-0.07
VT,N/A,N/A,N/A,N/A,-0.11,-0.21,-0.14,0.11,0.13,0.31,0.32,-0.02,-0.05,-0.17,-0.31,-0.11,-0.10,-0.03,0.35,-0.06,0.23,0.05,0.16,0.16,0.02,0.01,-0.34,0.06,-0.11,-0.11,-0.09,-0.13,-0.08,0.28,0.25,0.10,-0.13,-0.25,-0.07,-0.08,0.20,0.11,0.01,-0.04,0.00,0.03,0.01,0.07,0.01,0.01,0.07,-0.02,0.09,0.24,0.05,0.11,0.06,-0.12,0.11,0.03,0.14,0.19,0.08,0.12,-0.27,-0.24,-0.18,-0.01,0.23,0.16,0.16,-0.07,0.18,0.34,0.29,-0.02,0.01,0.08,-0.07,0.15,-0.18,-0.08,-0.05,0.10,0.27,0.02
CA,N/A,N/A,N/A,N/A,0.20,0.04,-0.15,-0.17,-0.14,-0.09,-0.07,0.30,-0.16,0.14,0.22,-0.01,0.22,-0.08,-0.10,0.02,0.01,0.09,0.07,-0.04,0.12,0.11,0.01,0.13,0.00,0.01,0.10,0.02,0.10,0.08,0.10,0.02,-0.07,0.00,-0.07,-0.05,-0.04,-0.02,-0.01,-0.03,0.04,0.10,0.13,0.08,0.11,-0.02,0.00,-0.03,-0.04,0.04,0.01,0.01,-0.10,-0.01,0.07,0.08,0.15,0.15,0.33,0.28,0.03,-0.05,-0.20,-0.05,0.01,0.04,0.05,-0.11,0.14,0.22,0.14,0.26,-0.07,0.01,0.00,-0.18,-0.04,-0.08,0.06,0.21,0.22,0.22
OR,N/A,N/A,N/A,N/A,0.16,0.33,0.25,0.13,-0.05,-0.10,-0.14,-0.13,-0.34,-0.45,-0.56,-0.02,0.47,0.69,1.00,0.01,0.02,0.09,-0.09,-0.05,-0.24,0.03,0.09,0.35,-0.05,0.24,0.10,-0.06,0.59,-0.07,0.18,-0.01,0.02,-0.03,-0.01,0.01,-0.04,0.07,0.05,0.10,0.06,0.00,0.02,-0.03,0.00,-0.03,-0.12,-0.03,0.10,0.17,0.19,0.04,-0.17,-0.12,-0.12,-0.11,0.04,0.05,0.12,0.02,-0.03,-0.19,-0.18,0.02,-0.01,0.12,0.07,-0.04,-0.04,0.11,0.09,0.11,0.37,0.17,0.17,0.03,-0.16,-0.06,-0.01,0.03,0.07,0.04
WA,N/A,N/A,N/A,N/A,0.24,0.18,-0.01,0.03,-0.20,-0.15,0.00,0.01,0.24,0.23,-0.02,-0.03,-0.01,-0.02,0.06,0.12,0.01,-0.04,-0.15,-0.04,-0.01,0.03,0.12,0.07,0.00,0.04,0.06,0.00,0.11,0.14,0.12,0.00,0.04,0.08,0.08,0.08,-0.03,-0.01,0.00,0.09,0.09,-0.01,-0.03,-0.09,0.02,0.05,0.07,0.10,0.14,0.15,0.03,-0.03,-0.19,-0.16,-0.10,-0.15,0.01,-0.03,0.13,0.15,-0.05,-0.13,-0.24,-0.12,-0.02,0.10,0.10,0.00,0.07,0.11,0.09,0.17,0.18,0.17,0.16,-0.02,-0.14,-0.15,-0.02,0.09,0.19,0.20
AK,N/A,N/A,N/A,N/A,-0.03,0.40,0.69,0.34,0.26,0.16,-0.13,0.01,-0.01,-0.01,-0.07,-0.10,0.03,0.00,0.08,0.11,0.15,0.20,0.15,-0.03,-0.01,-0.11,-0.07,-0.03,-0.11,1.13,0.87,-0.22,-0.98,-0.51,-0.85,-0.37,-0.17,-0.36,-0.95,0.99,66.90,0.42,72.80,-0.01,-0.08,0.01,0.05,0.07,-0.22,-0.13,-0.35,-0.05,0.17,0.35,0.69,0.15,0.31,0.00,0.15,-0.14,-0.22,-0.21,-0.20,-0.12,0.09,-0.15,-0.12,-0.10,-0.16,0.06,-0.19,0.01,0.13,0.00,-0.12,-0.04,0.11,-0.06,0.25,0.11,-0.06,0.03,-0.04,-0.03,-0.06,0.01
DE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.00,N/A,-1.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FL,N/A,N/A,N/A,N/A,0.05,0.05,0.03,0.01,0.01,-0.01,-0.07,-0.09,-0.11,-0.17,-0.05,-0.14,-0.02,0.16,0.12,0.19,0.12,0.05,0.01,0.03,0.07,0.04,0.04,0.05,0.00,0.03,0.04,0.03,0.05,-0.03,0.05,-0.06,-0.09,-0.02,-0.08,-0.04,0.08,0.03,0.03,0.11,-0.02,0.02,0.03,-0.04,0.00,0.00,0.02,0.08,0.07,0.12,0.07,0.03,-0.04,-0.03,0.05,0.07,0.10,0.06,0.17,0.07,-0.09,-0.10,-0.15,-0.03,0.09,0.13,0.09,0.08,0.24,0.24,0.10,0.19,0.04,0.08,0.10,-0.10,-0.12,-0.09,0.04,0.03,0.15,0.07
GA,N/A,N/A,N/A,N/A,-0.03,-0.25,-1.00,-0.03,-0.82,-0.97,N/A,-1.00,1.24,27.33,N/A,N/A,-0.15,0.58,0.46,0.66,2.12,0.06,0.24,0.20,0.07,0.09,-0.09,0.07,-0.01,-0.11,-0.01,-0.06,-0.01,0.07,0.18,-0.09,-0.24,-0.11,-0.11,0.02,0.03,0.09,0.11,0.10,0.24,0.07,0.07,-0.05,-0.05,0.02,-0.01,0.08,0.01,0.00,0.06,0.06,0.28,0.20,0.15,0.10,-0.03,-0.03,-0.03,0.03,0.03,-0.02,-0.02,0.02,0.00,0.02,0.07,0.08,0.16,0.22,0.05,0.09,0.00,0.07,0.17,-0.01,0.03,-0.05,0.04,0.01,0.11,0.12
